Date,Mkt-RF,SMB,HML,RF,AppleR,MsftR,GoogleR,AmazR,NvdiaR,AppleR - RF,MsftR - RF,GoogleR - RF,AmazR - RF,NvdiaR - RF
20230412,-0.51,-0.54,0.37,0.018,-0.0044,0.0023,-0.0067,-0.0209,-0.0248,-0.0224,-0.0157,-0.0247,-0.0389,-0.0428
20230411,0.06,0.47,0.58,0.018,-0.0076,-0.0227,-0.0102,-0.022,-0.0149,-0.0256,-0.0407,-0.0282,-0.04,-0.0329
20230410,0.2,0.79,0.27,0.018,-0.016,-0.0076,-0.0183,0.0011,0.02,-0.034,-0.0256,-0.0363,-0.0169,0.002
20230406,0.34,0.06,-0.53,0.018,0.0055,0.0255,0.0378,0.0095,0.0058,-0.0125,0.0075,0.0198,-0.0085,-0.0122
20230405,-0.4,-1.4,1.4,0.018,-0.0113,-0.0099,-0.0024,-0.0274,-0.0208,-0.0293,-0.0279,-0.0204,-0.0454,-0.0388
20230404,-0.72,-0.97,-0.72,0.018,-0.0032,-0.0002,0.0034,0.015,-0.0183,-0.0212,-0.0182,-0.0146,-0.003,-0.0363
20230403,0.28,-0.47,0.78,0.018,0.0077,-0.0037,0.0061,-0.0085,0.0068,-0.0103,-0.0217,-0.0119,-0.0265,-0.0112
20230331,1.53,0.69,-0.77,0.016,0.0156,0.015,0.0281,0.0126,0.0144,-0.0004,-0.001,0.0121,-0.0034,-0.0016
20230330,0.5,-0.54,-0.58,0.016,0.0099,0.0126,-0.0049,0.0175,0.0148,-0.0061,-0.0034,-0.0209,0.0015,-0.0012
20230329,1.39,-0.3,-0.54,0.016,0.0198,0.0192,0.0036,0.031,0.0217,0.0038,0.0032,-0.0124,0.015,0.0057
20230328,-0.17,-0.17,0.75,0.016,-0.004,-0.0042,-0.014,-0.0082,-0.0046,-0.02,-0.0202,-0.03,-0.0242,-0.0206
20230327,0.27,0.22,1.01,0.016,-0.0123,-0.0149,-0.0283,-0.0009,-0.0093,-0.0283,-0.0309,-0.0443,-0.0169,-0.0253
